name,birth,position,height,weight,start_year,end_year,career,games,goals,assist,birth_month
신제경,1961/01/25,DF,NA,NA,1985,1985,1,21,0,0,1
김충환,1961/01/29,FW,NA,NA,1985,1986,3,18,2,1,1
오승혁,1961/02/08,GK,NA,NA,1985,1985,1,4,0,0,2
이학종,1961/02/17,FW,172,65,1985,1991,8,90,14,9,2
김태근,1961/02/23,DF,NA,NA,1985,1985,1,4,0,1,2
안준원,1961/03/10,DF,NA,NA,1985,1986,2,27,1,0,3
조긍연,1961/03/18,FW,178,74,1985,1992,8,153,39,7,3
맹수일,1961/03/22,FW,184,76,1985,1987,3,30,2,1,3
이헌구,1961/04/13,MF,NA,NA,1985,1985,1,4,0,0,4
김영호,1961/04/20,GK,185,77,1985,1991,5,98,0,0,4
임장묵,1961/05/10,DF,NA,NA,1985,1986,2,5,0,0,5
최태진,1961/05/14,DF,177,75,1985,1992,8,181,18,8,5
김동근,1961/05/20,DF,NA,NA,1985,1985,1,6,1,0,5
조윤환,1961/05/24,DF,182,75,1985,1990,5,102,9,9,5
박노봉,1961/06/19,DF,178,72,1985,1991,7,154,4,2,6
최진한,1961/06/22,NA,174,72,1985,1992,9,186,35,16,6
김대흠,1961/07/08,FW,NA,NA,1985,1985,1,21,4,3,7
이흥실,1961/07/10,NA,168,68,1985,1992,8,182,48,35,7
김광명,1961/09/09,FW,NA,NA,1985,1985,2,14,2,0,9
이경남,1961/11/04,FW,NA,NA,1985,1986,2,11,1,0,11
강용국,1961/11/17,MF,NA,NA,1985,1986,2,24,1,2,11
김성기,1961/11/21,DF,179,70,1985,1992,9,140,5,3,11
곽성호,1961/12/24,MF,NA,NA,1985,1985,1,9,0,0,12
최태섭,1962/01/12,DF,NA,NA,1985,1985,1,1,0,0,1
김영규,1962/03/01,MF,175,71,1985,1987,3,58,2,4,3
배실용,1962/04/11,DF,NA,NA,1985,1986,2,13,0,0,4
이주한,1962/04/27,GK,NA,NA,1985,1986,2,19,0,0,4
권혁표,1962/05/25,FW,NA,NA,1985,1986,2,32,4,0,5
여재항,1962/06/28,DF,NA,NA,1985,1985,1,2,0,0,6
최창환,1962/08/09,MF,NA,NA,1985,1985,1,3,0,0,8
박내인,1962/08/20,DF,NA,NA,1985,1985,1,6,0,0,8
장창순,1962/09/01,MF,170,64,1985,1989,2,19,0,2,9
구본석,1962/09/05,MF,177,76,1985,1994,10,174,22,8,9
신제호,1962/10/03,DF,NA,NA,1985,1986,2,24,0,0,10
김종환,1962/11/15,FW,165,67,1985,1988,3,52,6,7,11
이중재,1963/01/27,MF,NA,NA,1985,1985,1,11,1,3,1
이상용,1963/04/29,FW,NA,NA,1985,1987,3,11,0,0,4
박국창,1963/08/15,MF,170,65,1985,1987,4,28,1,1,8
김종건,1964/03/29,MF,168,64,1985,1992,9,127,14,12,3
김경범,1965/03/05,DF,177,67,1985,1998,12,338,9,33,3
이계원,1965/03/16,MF,168,63,1985,1993,7,141,11,9,3
박철우,1965/09/29,GK,181,80,1985,1999,11,190,0,0,9
정종선,1966/03/20,DF,180,76,1985,1998,11,271,1,2,3
손웅정,1966/06/16,MF,170,61,1985,1989,4,37,7,0,6
